"folderlist$BookmarkFolder","BookMark","BookMarkDescription"
"StatBandit","http://nakedpie.com/survey/","http://nakedpie.com/survey/"
"StatBandit","http://www.thestreet.com/story/12043214/1/5-ways-you-can-lock-in-a-job-on-linkedin.html?puc=yahoo&cm_ven=YAHOO","5 Ways You Can Lock In a Job on LinkedIn - TheStreet"
"StatBandit","http://drmartinfletcher.com/","DrMartinFletcher.com | Traumatic Brain Injury, Math, Autism, Anxiety, Depression, Cognitive Behavioral TherapyLearning, &amp; Cogntive Modifiability"
"StatBandit","http://strata.oreilly.com/2013/09/think-about-learning-bayes-using-python.html","Think about learning Bayes using Python - Strata"
"StatBandit","http://en.sommer-sommer.com/braintest/?data=NjksMzE%3D","Right-brained? Left-brained? Take the test!"
"StatBandit","http://www.pro-football-reference.com/","Pro-Football-Reference.com - Pro Football Statistics and History"
"StatBandit","http://statbandit.com/d20/sfg/","http://statbandit.com/d20/sfg/"
"StatBandit","http://statbandit.com/d20/survey/","http://statbandit.com/d20/survey/"
"StatBandit","http://www.parami.us/about.php","About JTS"
"StatBandit","http://statbandit.com/d20/resources/linkpop.php","http://statbandit.com/d20/resources/linkpop.php"
"StatBandit","http://www.r-users.com/","R-users: let&#39;s work together! - A job/resume board for people and companies looking to hire R users"
"StatBandit","http://www.statbandit.com/elo/upload/verot.php","Le VEROT"
"StatBandit","http://www.smc3.com/smc3/","SMC³ | Transportation Pricing at Work"
"StatBandit","https://people.richland.edu/james/lecture/m170/ch06-prb.html","Stats: Probability Distributions"
"StatBandit","http://www.tangotiger.net/","Tango on Baseball"
"StatBandit","http://www.primalmath.com/","http://www.primalmath.com/"
"StatBandit","http://www.lumosity.com/","Brain Games &amp; Brain Training - Lumosity"
"StatBandit","http://footballjobs.teamworkonline.com/teamwork/r.cfm?i=66555","NFL Team Jobs"
"StatBandit","http://www.icrunchdata.com/big-data-jobs-index.aspx","Big Data Jobs Index - icrunchdata"
"StatBandit","http://git-scm.com/","Git"
"R Stats","http://www.inside-r.org/","inside-R | A Community Site for R | A Community Site for R – Sponsored by Revolution Analytics"
"R Stats","http://www.statmethods.net/","Quick-R: Home Page"
"R Stats","http://www.r-tutor.com/","An R Introduction to Statistics | R Tutorial"
"R Stats","http://msenux.redwoods.edu/math/R/","Using R in Statistics"
"R Stats","http://www.r-bloggers.com/tag/xyplot/","Xyplot (R news &amp; tutorials)"
"R Stats","http://www.r-tutor.com/r-introduction/data-frame/data-import","Data Import | R Tutorial"
"R Stats","http://www.statmethods.net/input/missingdata.html","Quick-R: Missing Data"
"R Stats","http://www.sciviews.org/Tinn-R/","Tinn-R"
"R Stats","http://www.statmethods.net/management/merging.html","Quick-R: Merging"
"R Stats","http://www.gardenersown.co.uk/education/lectures/r/correl.htm","Using R for statistical analyses - Simple correlation"
"R Stats","http://cran.r-project.org/doc/manuals/R-intro.html","An Introduction to R"
"R Stats","http://www.stat.bell-labs.com/S/history.html","Evolution of S"
"R Stats","http://www.vim.org/download.php","download : vim online"
"R Stats","http://decisionstats.com/2010/10/05/using-code-editors-in-r/","Using Code Editors in R « DECISION STATS"
"R Stats","http://ess.r-project.org/index.php?Section=home","ESS - Emacs Speaks Statistics"
"R Stats","http://notepad-plus-plus.org/","Notepad++ Home"
"R Stats","http://www.eclipse.org/","Eclipse - The Eclipse Foundation open source community website."
"R Stats","http://www.rstudio.org/","RStudio"
"R Stats","http://pvanb.wordpress.com/2010/01/06/which-text-editor-to-use-with-r/","Which text editor to use with R? | Ecostudies"
"R Stats","http://www.sciviews.org/_rgui/projects/Editors.html","IDE/Script Editors"
"R Stats","http://notepad-plus-plus.org/download/v6.2.html","Notepad++ v6.2 - Current Version"
"R Stats","http://www.r-project.org/conferences/useR-2004/Keynotes/Leisch.pdf","Leisch.pdf (application/pdf Object)"
"R Stats","http://www.scribd.com/doc/97179107/108/Mathematical-annotation","12.2.1 Mathematical annotation for R-intro"
"R Stats","http://www.ats.ucla.edu/stat/R//faq/subset_R.htm","R FAQ: How can I subset a data set?"
"R Stats","http://stackoverflow.com/questions/1828742/rotating-axis-labels-in-r","rotating axis labels in R - Stack Overflow"
"R Stats","http://en.wikibooks.org/wiki/R_Programming/Text_Processing","R Programming/Text Processing - Wikibooks, open books for an open world"
"R Stats","http://web.mit.edu/10.001/Web/Course_Notes/c_Notes/tips_printf.html","Tips on printf"
"R Stats","http://web.eecs.umich.edu/~bartlett/printf.html","Conversion specifications for printf"
"R Stats","http://www.rstudio.org/docs/?version=0.96.331&mode=desktop","RStudio"
"R Stats","http://gallery.r-enthusiasts.com/","R Graph Gallery :: Home"
"R Stats","http://stats.lse.ac.uk/penzer/ST419materials/CSchpt3.pdf","CSchpt3.pdf (application/pdf Object)"
"R Stats","http://cw.routledge.com/textbooks/9780805861853/R/appendix.pdf","appendix.pdf (application/pdf Object)"
"R Stats","http://faculty.washington.edu/kenrice/sisg/SISG-08-05.pdf","SISG-08-05.pdf (application/pdf Object)"
"R Stats","http://www.burns-stat.com/pages/Tutor/R_inferno.pdf","R_inferno.pdf (application/pdf Object)"
"R Stats","http://cran.r-project.org/","The Comprehensive R Archive Network"
